و	، را که از در به آن او شما برای بر پس خود گردآوری بدرقه
ورزیده‌اند	کفر می‌ورزند ورزیدند برمی‌تابند ورزیده خوانده_شود بادیه‌نشینان اسلام کسانی‌اند پنداشته‌اند می‌چشانیم جهاد مردند گراید برادرانتان
ارجمند	شکست‌ناپذیر بخشایشگر رحمتگر حکیمی صفات حکیم بردبار سنجیده‌کار شکوهمند آمرزنده ستوده جهانیانم منم پسری مهربان
مردمی	ستمگر نصرانی نشانه‌هایی می‌اندیشند پیامبری ایکه نزدیکترین بازگردید پیشینیان شده‌ایم دسته افسون جدیدی محروم پرداختند
خلق	ببینید آسمان‌ها آفرینش بنگرید ندانسته‌اند آماده گل نیرومندتر تردیدی پراکنده فرمانروایی لنگر جانشین فرجام کوه‌های
ببینند	نگردیده‌اند فساد گردانید فرو می‌دیدی بگردید هشدارداده‌شدگان شده‌اند دریابند نخواهند_گروید دردناک حدس سالی بازی بد
آوردند	دسته‌ای کافر انداخت شدند پیوست دل‌های هلاکشان نیاورید منحرف داشتند سحری دیدند نبودند ایمانشان خواهیم_آورد
تواناست	می‌بخشاید توبه‌پذیر می‌خواست بخواهد بیمناکم ستمکارتر می‌پذیرد می‌دارد آمرزنده نگهبان سنجیده‌کار بیناست توبه‌کار رحمتگر می‌داند
می‌گویید	می‌پرسند راست کدامند عجب گواهان بجز نشده_است سوره می‌گویی بدارید بیاورید پدران قرآنی نگویید افسانه‌های
بخورید	گواراتان بترسید درنگ نعمت‌های رکوع می‌خورید پاکیزه دارید حج سازند حلال بپرستید کنید عده روزیشان
زکات	رکوع برپا مستمندان مشغول ناپسند می‌دارند کارهای بدهد نماز رکوع‌کنندگان فرمانم تمسک دادن داشته پاسخ
اندکی	درنگ بچشید نیرنگ مهلت مهلتشان نمانده‌اید واگذار رسیده_است ساعتی نکردید می‌کنم وادار معین بسی نیفزود
فرستاده‌ای	هشداردهنده‌ای پیامبری اعتمادم پیام بزرگوار روانه فرستادگانی برانگیختیم گواه دلایل هشداردهندگانی جهانیانم امتی بشارتگر بازگشتی
فرزندی	اختیار سودی یگانه خدایی میراث کاری می‌خواست خدایانی یاوری دوستانی بندگان منزه گرفته_است خاور کرم
لعنت	جاوید آرزو بدرقه بچشید اطاعت سهم نمی‌دهند سپاسگزاری گمراه آزار مردند پندار اینانند عذابشان گونه‌ای‌
مرد	زناکار مؤمنی شخص مسلمان عادل زده_است سه زنی انس حیوانی عشیره تن زن مشرک بشر
شهرها	هلاکشان گسیل نسل‌ها مردمش نمی‌دیدید شهری تقسیم بخوانی فرقه بسا ستمگر عاد هلاک مردانی سپاهیانش
سپاس	بترسید نمی‌دارید بجویید پروا تسبیح ندانسته‌اند ستایش می‌پرستید می‌خواست مقامی یاوری زودگذر دعای آشکارش وصف
چیست	دانی دهنده کی گردنه سرانجامی بزرگتر نمی‌دانند کیفرش نشانه‌ها نخواهیم_شد آسمان‌های سقر کوبنده ان دمیده
دل‌های	گفته‌اند آوردند لعنتشان دلهایشان تنهایی دسته‌ای بی‌گمان الهی هدایت یقین می‌خواست باشیم نمانده_بود نمی‌کردیم بنگرند
امر	دشوار ماجرا حجتی گرویدیم حکایت بگردانید می‌گذاشتند صحیفه‌های انحراف دین حقا بازگردانیده قبله رسالت حقایق
آدم	فرزندان صالح درافتادند شعیب گفتیم اسرائیل همسرت فرستادیم‌ ماجرای ابلیس برادرشان ساحران فرمودیم خواهر الیاس
باغ	میوه انگور درختان خوشه تلخ نوع نهرها دو حیث خرما حد گاو آسانی زیر گردش
دیگری	بخواهیم بخواند غیر زنانتان معبود پلید می‌گردیم نیستید تکیه تبدیل نباشد پرسند بنده‌ای پسرانتان کردن
گمان	داشتید زنا قطعه نیفزود ندارم نمی‌کنند بمیرید شخص بیش خواهان حقیقت مرتکب هلاکت کنی یهودی
گیرد	بزودی می‌ورزیدید می‌گیرد خواهد_، گیرید صف گفتار عبرت مبر آسیبی افکندند درآوردند می‌خواند حالی بلعید
فرمانروایی	ملکوت پدیدآورنده ندانسته‌اند خواهی_، ندانستی آسمان‌ها شش ستمکارتر سرا آسمان‌های ندانسته‌ای خدایی اوست کلیدهای یکسره
شکست‌ناپذیر	سنجیده‌کار رحمتگر حکیم بخشایشگر صفات دوستدار ارجمند حکیمی آمرزنده مهربان دانای بلندمرتبه گشایشگر شنوای توبه‌پذیر
برسد	بگوید بکشند کودکی برسند رسد رشد بهترند حد برادرانتان بدیشان قربانی شبانه بگذار آمدند بنمایانیم
جان	می‌ستاند جانتان نموده‌اند دشمن جانشان سوگندهای اندک می‌ستانند نمودند گفتی ستانند آرامی دوست حفظ نمی‌خوانند
دانش	تورات آوردم ساخته‌ایم جهانیان رهنمود شنیدیم رحمتی شهری بودند گروهی بی‌گمان نفرستادیم نعمتی گزارش لوط
نگاه	می‌دارد چهره‌هایی دوست ریز تکذیب‌کنندگان نمی‌ماند زهم مشغول گردند ساعتی پنهان سیاه کوه‌هایی می‌بینند آسوده
تسبیح	گوی ستایش شکوهمند بلندمرتبه منزه سپاس آمرزشی شامگاهان باش ارجمند می‌دهد شبانگاه پدیدآورنده آسمان‌های عرش
بشری	هشداردهنده‌ای شمایم بشر دروغی بحق نگفتم الها گل وظیفه‌ای‌ کتاب‌هایی نفرستادیم منزهی گلی بیش دعای
خاک	مردیم استخوان شدیم خاکی نطفه گردانیده بالای نوع صورتگری نطفه‌ای می‌گردیم می‌بریدند شش زنده نر
دانای	سنجیده‌کار حکیم رحمتگر مهربان شکست‌ناپذیر آمرزنده گشایشگر بخشایشگر درمی‌گذرد بردبار صفات می‌پذیرد شکوهمند برگردانیده بازگردانیده
خورشید	ماه برآمدن سزد بامداد ستارگان فرمانش شب شبانگاه درمی‌آورد صبح آفتاب روشنایی هفت شش می‌میراند
کشتی	سوار کشتی‌ها عصایت رودها همراه سوراخ جفت روبرو فرمودیم فرمانش شتر زندان تن دریا نیافتی
علم	ندارم بربافتد نداشتید دلیلی علمی فرمانروایی غیب ندانسته‌اند ستمکارتر ندانسته‌ای نزد الهی وصیتی دروغی سوره‌ای
بازپسین	کتاب‌ها پیامبرانش ایمان می‌شناسد پیامبرش نمی‌آورند اسلام بدارید ورزیده نمی‌گیرد حسرت پاکدامن باور آمرزنده لقای
فساد	هزینه زمین نگردیده‌اند هجرت شادی انکار زنده مردها ببینند بنگرید گم سفر گردنکشی برخورد بندگانت
نمی‌دانند	زندگان برانگیخته نمی‌افزاید کی چیست بیشتر ایمان‌آورنده نمی‌فهمند خواهند_شد لیکن نخواهند_شد نمی‌دانید سرانجامی نخواهیم_شد نمی‌یابند
